#entropie.dat
#Position Entropie
0 1.8547663336943563
1 3.1807779208854856
2 2.0531938229370845
3 2.535683150925362
4 1.9140965960418472
5 2.82157361358149
6 0.7342497362887062
7 1.9941697936889038
8 0.791153778449095
9 0.6202211018123731
10 1.1826498644120491
11 1.4543422165059234
12 2.808631677055901
13 3.1685557239461906
14 1.607296553783054
15 2.514404965542195
16 0.8107012464205847
17 1.3996461274828196
18 3.2208097503024025
19 2.4542908790491147
20 1.0463314843282085
21 2.29252912251142
22 0.599428306612571
23 2.2914232209540812
24 1.593569963882389
25 1.0669572914365584
26 0.7915295920400256
27 0.5456591354603466
28 1.1618827719052383
29 1.021449591320435
30 1.762353780969324
31 4.176827384837058
32 1.9604524394188956
33 0.7790672675382986
34 2.5771802920479137
35 1.0585203618533967
36 0.636171467532614
37 0.45471577951676156
38 1.1572928388375066
39 2.3726424080109214
40 2.221087050256646
41 0.8314607366842677
42 0.7787626203889961
43 3.875513964134912
44 1.2846226500451734
45 2.2055299138293334
46 3.9862728301572674
47 2.0581653986603863
